NHS Trust/ Health Board code,All patients,Cases with referral source = They know where they were referred from?,No. diagnosed after emergency admission,Adjusted % diagnosed after emergency admission ,Cases with investigation data ,% having CT scan (all patients) ,"No. of patients (oesophageal cancer, curative plan) ","% having PET-CT (oesophageal cancer, curative plan)",Cases with complete clinical stage data,Patients with clinical stage 0-3,% with clinical stage 0-3,Patients with stage 0-3 with curative treatment plan,Eligible patients who had curative treatment,Patients having palliative chemotherapy,Patients with chemotherapy outcome data,% patients completing chemotherapy,Patients having palliative radiotherapy,Patients with radiotherapy outcome data,% patients completing radiotherapy,Median time from referral to start of curative treatment (days),Eligible patients who had non-curative treatment,Median time from referral to start of non-curative treatment (days),Eligible patients diagnosed after urgent GP referral ,% patients who waited >62 days from urgent GP referral to first treatment,No. of oesophagectomies,No. of gastrectomies ,Total cases,Adjusted 30 day mortality rate ,Adjusted 90 day mortality rate ,Adjusted 1 year survival rate,Median length of stay (days),% patients with 15+ lymph nodes examined,% positive margins oes longitud (adjusted) = positive margin > require further treatment and monitoring,% positive margins oes circumfer (adjusted),% positive margins gast longitud (adjusted),% records with postoperative nutrition data (2019-21),% patients with dietetic involvement following surgical resection (2019-21)
REM,285,285,44,14.2,159,,,,162,106,65.43209877,67.0,42,45,44,32.0,13,12,83.0,61.5,48,59,58,46.6,56,48,104,2.4,5.6,79.2,11,90.3,2.0,8.0,19.4,0.0,
RRK,285,276,36,13.3,183,,,,182,121,66.48351648,68.6,31,18,3,,8,3,,87,17,62,27,74.1,172,98,270,0.8,2.3,95.3,11,93.4,3.5,16.8,9.0,99.0,100.0
RJE,259,259,13,5.0,254,93.4,89,27.0,239,129,53.9748954,62.8,6,3,3,,3,3,,137.5,3,,5,,143,69,212,2.6,3.4,84.9,10,95.3,4.6,16.1,15.9,1.0,
RKB,155,155,10,6.0,155,98.1,35,94.3,150,81,54,55.6,46,35,31,42.0,19,19,100.0,82,37,65,69,63.8,63,37,100,3.6,9.9,77.5,14,88.9,6.8,15.6,25.5,98.0,98.0
RJ1,29,25,2,7.0,27,93.1,10,90.0,27,27,100,88.9,6,,,,,,,110.5,,,5,,186,97,283,0.4,2.0,87.9,9,95.4,5.4,17.9,7.1,96.0,100.0
RA2,93,92,5,6.0,92,95.7,32,90.6,91,60,65.93406593,60.0,20,24,19,68.0,3,3,,79,25,62,29,58.6,88,31,119,1.0,3.3,84.6,11,98.7,4.2,8.6,0.0,92.0,100.0
RYR,320,319,31,10.9,299,83.4,106,67.0,277,171,61.73285199,66.1,57,36,35,63.0,19,19,100.0,89,35,84,75,77.3,48,24,72,3.3,7.3,76.3,15,84.4,0.0,10.7,3.4,47.0,
RTH,221,220,33,14.0,217,97.3,60,93.3,207,92,44.44444444,59.8,71,41,41,61.0,46,46,98.0,69,72,51,107,40.2,179,62,241,1.4,3.2,85.4,9,93.6,1.9,14.5,9.9,100.0,100.0
RK9,187,187,26,13.5,186,97.9,47,68.1,176,88,50,60.2,21,22,22,100.0,24,24,100.0,69,37,65,47,59.6,205,42,247,0.3,2.6,86.8,10,93.1,3.3,15.2,16.0,2.0,
RA7,165,165,7,4.4,155,93.9,53,50.9,137,77,56.20437956,67.5,36,25,25,48.0,9,9,100.0,76.5,21,58,48,52.1,92,33,125,1.4,1.7,87.3,11,91.1,4.8,16.7,12.9,0.0,
RTE,283,283,59,22.1,270,95.4,70,87.1,265,120,45.28301887,62.5,64,58,16,94.0,36,21,100.0,58.5,69,56,99,25.3,95,45,140,5.5,6.2,81.1,10,94.0,0.0,14.4,7.5,1.0,
RHU,153,153,2,1.6,144,90.8,75,77.3,138,96,69.56521739,83.3,75,28,26,46.0,5,5,100.0,60,21,62,66,39.4,107,38,145,2.3,4.8,84.9,12,83.8,3.1,3.3,6.3,80.0,
